pincode,city,state,pickup,delivery,zone
124030,Rohtak,Haryana,N,N,d
124031,Rohtak,Haryana,N,N,d
124101,Jhajjar,Haryana,Y,Y,d
124102,Jhajjar,Haryana,Y,Y,d
124103,Jhajjar,Haryana,Y,Y,d
124104,Jhajjar,Haryana,Y,Y,d
124105,Jhajjar,Haryana,Y,Y,d
124106,Charkhi Dadri,Haryana,Y,Y,d
124107,Jhajjar,Haryana,Y,Y,d
124108,Pataudi,Haryana,Y,Y,d
124109,Jhajjar,Haryana,Y,Y,d
124110,Maham,Haryana,N,N,d
124111,Meham,Haryana,Y,Y,d
124112,Meham,Haryana,Y,Y,d
124113,Rohtak,Haryana,Y,Y,d
124114,Rohtak,Haryana,N,N,d
124122,Bahadurgarh,Haryana,N,N,d
124127,Meham,Haryana,Y,Y,d
124129,Meham,Haryana,N,Y,d
124139,Jhajjar,Haryana,Y,Y,d
124141,Charkhi Dadri,Haryana,Y,Y,d
124142,Chirya,Haryana,Y,Y,d
124146,Rewari,Haryana,Y,Y,d
124201,Jhajjar,Haryana,Y,Y,d
124202,Jhajjar,Haryana,Y,Y,d
124203,Jhajjar,Haryana,Y,Y,d
124204,Kalanaur,Haryana,N,N,d
124301,Rohtak,Haryana,N,N,d
124302,Rohtak,Haryana,N,N,d
124303,Rohtak,Haryana,Y,Y,d
124304,Rohtak,Haryana,N,N,d
124305,Rohtak,Haryana,N,N,d
124401,Rohtak,Haryana,Y,Y,d
124402,Rohtak,Haryana,N,N,d
124404,Sonipat,Haryana,Y,Y,d
124405,Bahadurgarh,Haryana,N,N,d
124406,Rohtak,Haryana,Y,Y,d
124407,Bahadurgarh,Haryana,N,N,d
124408,Bahadurgarh,Haryana,N,N,d
124409,Rohtak,Haryana,N,N,d
124410,Rohtak,Haryana,N,N,d
124411,Rohtak,Haryana,Y,Y,d
124412,Rohtak,Haryana,Y,Y,d
124416,Rohtak,Haryana,Y,Y,d
124419,Rtk,Haryana,N,N,d
124426,Rtk,Haryana,N,N,d
124500,Bahadurgarh,Haryana,N,N,d
124501,Sonipat,Haryana,Y,Y,d
124502,Bahadurgarh,Haryana,N,N,d
124504,Jhajjar,Haryana,Y,Y,d
124505,Bahadurgarh,Haryana,Y,Y,d
124506,Bahadurgarh,Haryana,Y,Y,d
124507,Bahadurgarh,Haryana,Y,Y,d
124508,Bahadurgarh,Haryana,Y,Y,d
124509,Bahadurgarh,Haryana,N,N,d
124510,Bahadurgarh,Haryana,N,N,d
124512,Bahadurgarh,Haryana,Y,Y,d
124513,Meham,Haryana,Y,Y,d
124514,Meham,Haryana,Y,Y,d
124515,MAHAM,Haryana,N,N,d
124516,Maham,Haryana,N,N,d
124517,Sonipat,Haryana,Y,Y,d
124520,Rtk,Haryana,N,N,d
124524,Julana,Haryana,N,N,d
124599,Delhi,Delhi,N,N,d
125000,Hissar,Haryana,N,N,d
125001,Hisar,Haryana,Y,Y,d
125002,Hisar,Haryana,Y,Y,d
125003,Hisar,Haryana,Y,Y,d
125004,Hisar,Haryana,Y,Y,d
125005,Hisar,Haryana,Y,Y,d
125006,Hisar,Haryana,Y,Y,d
125007,Hisar,Haryana,Y,Y,d
125008,Hissar,Haryana,N,N,d
125009,Hissar,Haryana,N,N,d
125011,Hisar,Haryana,Y,Y,d
125012,HISAR,Haryana,N,N,d
125021,Bhiwani,Haryana,Y,Y,d
125030,Hissar,Haryana,N,N,d
125031,Hansi,Haryana,N,N,d
125032,Hansi,Haryana,N,N,d
125033,Hansi,Haryana,Y,Y,d
125034,Hansi,Haryana,Y,Y,d
125035,Hansi,Haryana,N,N,d
125036,Hissar,Haryana,N,N,d
125037,Hansi,Haryana,Y,Y,d
125038,Jind,Haryana,Y,Y,d
125039,Jind,Haryana,Y,Y,d
125040,Hissar,Haryana,N,N,d
125041,Meham,Haryana,N,Y,d
125042,Meham,Haryana,Y,Y,d
125043,Bhuna,Haryana,Y,Y,d
125044,Hisar,Haryana,Y,Y,d
125045,Hissar,Haryana,N,N,d
125046,Hissar,Haryana,N,N,d
125047,Agroha,Haryana,Y,Y,d
125048,Fatehabad,Haryana,Y,Y,d
125049,Hansi,Haryana,Y,Y,d
125050,Fatehabad,Haryana,Y,Y,d
125051,Ratia,Haryana,Y,Y,d
125052,Agroha,Haryana,Y,Y,d
125053,Fatehabad,Haryana,Y,Y,d
125054,Sirsa,Haryana,Y,Y,d
125055,Sirsa,Haryana,Y,Y,d
125056,Sirsa,Haryana,Y,Y,d
125057,Sirsa,Haryana,N,N,d
125058,Fatehabad,Haryana,Y,Y,d
125060,Sirsa,Haryana,Y,Y,d
125061,SIRSA,Haryana,N,N,d
125062,Sirsa,Haryana,N,N,d
125075,Ellenabad,Haryana,Y,Y,d
125076,Sirsa,Haryana,Y,Y,d
125077,Kalanwali,Haryana,Y,Y,d
125078,Kalanwali,Haryana,Y,Y,d
125079,Fatehabad,Haryana,N,N,d
125080,Fatehabad,Haryana,N,N,d
125087,Hissar,Haryana,N,N,d
125101,Sangaria,Rajasthan,Y,Y,d
125102,Ellenabad,Haryana,Y,Y,d
125103,Sirsa,Haryana,Y,Y,d
125104,Mandi Dabwali,Haryana,Y,Y,d
125105,Bhuna,Haryana,N,N,d
125106,Ratia,Haryana,Y,Y,d
125108,Sirsa,Haryana,N,N,d
125109,Sirsa,Haryana,N,N,d
125110,Sirsa,Haryana,Y,Y,d
125111,Bhuna,Haryana,Y,Y,d
125112,Fatehabad,Haryana,Y,Y,d
125113,Bhuna,Haryana,Y,Y,d
125119,Hissar,Haryana,N,N,d
125120,Bhuna,Haryana,Y,Y,d
125121,Barwala,Haryana,Y,Y,d
125122,Fatehabad,Haryana,Y,Y,d
125123,Barwala,Haryana,N,N,d
125125,Tohana,Haryana,N,Y,d
125133,Ratia,Haryana,Y,Y,d
125201,Kalanwali,Haryana,Y,Y,d
125202,Rania,Haryana,N,N,d
126001,Tohana,Haryana,Y,Y,d
126006,Hissar,Haryana,N,N,d
126007,Hissar,Haryana,N,N,d
126008,Fatehabad,Haryana,N,N,d
126009,Hissar,Haryana,N,N,d
126010,Hissar,Haryana,N,N,d
126011,Hissar,Haryana,N,N,d
126013,Hissar,Haryana,N,N,d
126014,Hissar,Haryana,N,N,d
126015,Hissar,Haryana,N,N,d
126025,Hissar,Haryana,N,N,d
126027,Hissar,Haryana,N,N,d
126101,Meham,Haryana,Y,Y,d
126102,Jind,Haryana,Y,Y,d
126103,Jind,Haryana,N,Y,d
126104,Jind,Haryana,N,Y,d
126105,Jind,Haryana,N,N,d
126107,Jind,Haryana,N,N,d
126110,Jind,Haryana,Y,Y,d
126111,Assandh,Haryana,Y,Y,d
126112,Safidon,Haryana,Y,Y,d
126113,Jind,Haryana,Y,Y,d
126114,Jind,Haryana,Y,Y,d
126115,Jind,Haryana,Y,Y,d
126116,Narwana,Haryana,Y,Y,d
126125,Jind,Haryana,Y,Y,d
126126,Narwana,Haryana,N,Y,d
126127,Narwana,Haryana,N,Y,d
126128,Narwana,Haryana,N,Y,d
126152,Jind,Haryana,Y,Y,d
126153,Narwana,Haryana,N,N,d
127020,Bhiwani,Haryana,Y,Y,d
127021,Bhiwani,Haryana,Y,Y,d
127022,Chirya,Haryana,Y,Y,d
127025,Charkhi Dadri,Haryana,Y,Y,d
127026,Charkhi Dadri,Haryana,Y,Y,d
127027,Meham,Haryana,Y,Y,d
127028,Bahal,Haryana,Y,Y,d
127029,Bahal,Haryana,Y,Y,d
127030,Loharu,Haryana,Y,Y,d
127031,Bhiwani,Haryana,Y,Y,d
127032,Bhiwani,Haryana,Y,Y,d
127035,Hansi,Haryana,Y,Y,d
127040,Siwani,Haryana,Y,Y,d
127041,Meham,Haryana,Y,Y,d
127042,Charkhi Dadri,Haryana,Y,Y,d
127043,Siwani,Haryana,Y,Y,d
127045,Siwani,Haryana,Y,Y,d
127046,Siwani,Haryana,Y,Y,d
127110,Charkhi Dadri,Haryana,Y,Y,d
127111,Bhiwani,Haryana,Y,Y,d
127114,Bhiwani,Haryana,Y,Y,d
127201,Loharu,Haryana,Y,Y,d
127306,Charkhi Dadri,Haryana,Y,Y,d
127307,Charkhi Dadri,Haryana,Y,Y,d
127308,Loharu,Haryana,Y,Y,d
127309,Bhiwani,Haryana,Y,Y,d
127310,Charkhi Dadri,Haryana,Y,Y,d
127311,Bhiwani,Haryana,Y,Y,d
127312,Charkhi Dadri,Haryana,Y,Y,d
130107,Panipat,Haryana,N,N,d
131000,Sonipat,Haryana,N,N,d
131001,Sonipat,Haryana,Y,Y,d
131002,Sonipat,Haryana,Y,Y,d
131003,Sonipat,Haryana,N,N,d
131010,Gohana,Haryana,N,N,d
131021,Sonipat,Haryana,Y,Y,d
131022,Sonipat,Haryana,Y,Y,d
